,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
123,trackRefsForJetsBeforeSorting ,3.48,51.42
124,trackValidatorAllTPEfficStandalone ,1229.38,349.52
125,trackValidatorBHadronTrackingOnly ,70.79,124.86
126,trackValidatorBuilding ,443.19,202.72
127,trackValidatorBuildingPreSplitting ,0.25,0.0
128,trackValidatorFromPVAllTPStandalone ,173.73,179.97
129,trackValidatorFromPVStandalone ,40.12,47.45
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25,0.0
131,trackValidatorSeedingTrackingOnly ,1573.98,389.29
132,trackValidatorTPPtLess09Standalone ,277.02,162.35
133,trackValidatorTrackingOnly ,1887.51,304.69
134,trackVertexArbitrator ,0.25,0.0
135,trackWithVertexRefSelectorBeforeSorting ,3.96,68.31
136,trackerClusterCheck ,0.26,12.0
137,trackingDQMgoodOfflinePrimaryVertices ,2.92,12.25
138,trackingParticleNumberOfLayersProducer ,662.79,4913.05
139,trackingParticleRecoTrackAsssociation ,1609.59,9772.68
140,trackingParticlesBHadron ,1884.98,5382.44
141,trackingParticlesConversion ,0.25,0.0
142,trackingParticlesElectron ,0.25,0.0
143,trackingParticlesSignal ,3149.09,15829.79
144,unsortedOfflinePrimaryVertices ,3160.74,634.38
145,v0Validator ,0.25,0.0
146,vertexAnalysisTrackingOnly ,122.73,104.74
147,vertexMerger ,0.25,0.0
