,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
0,event ,31570.45,29557.81
1,explicit ,35690.93,59259.9
2,overhead ,8518.9,17970.35
3,process RECO ,31570.45,29557.81
4,source ,291.53,6745.21
5,DQMoutput ,0.25,0.0
6,DQMoutput_step ,0.25,0.0
7,MC_Dqmoffline_v2 ,0.25,0.0
8,MC_Tracking_v2 ,0.25,0.0
9,MC_prevalidation_v2 ,0.25,0.0
10,MC_validation_v2 ,0.25,0.0
11,MeasurementTrackerEvent ,27.81,1291.73
12,PV0p1 ,1.73,69.49
13,TrackMon_ckf ,0.26,11.75
14,TrackSeedMonhighPtTripletStep ,41.57,67.52
15,TrackSeedMoninitialStep ,97.5,174.04
16,TrackSplitMonitor ,187.85,9368.0
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,1655.6,453.06
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,54.34,47.93
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,479.45,242.51
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,971.62,394.16
21,TriggerResults ,0.25,0.0
22,VertexAssociatorByPositionAndTracks ,0.25,0.0
23,ak4CaloJetsForTrk ,9.06,132.52
24,bunchSpacingProducer ,0.25,0.0
25,caloTowerForTrk ,11.49,82.57
26,cutsRecoTracksBtvLike ,4.12,67.52
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25,0.0
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25,0.0
29,cutsRecoTracksFromPVHp ,0.25,0.0
30,cutsRecoTracksFromPVInitialStep ,0.25,0.0
31,cutsRecoTracksFromPVInitialStepHp ,0.25,0.0
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25,0.0
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25,0.0
34,cutsRecoTracksFromPVPt09Hp ,0.25,0.0
35,cutsRecoTracksFromPVPt09InitialStep ,0.25,0.0
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25,0.0
37,cutsRecoTracksHighPtTripletStep ,1.96,42.04
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,1.99,41.08
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,1.66,52.98
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,1.97,45.75
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,1.64,48.71
42,cutsRecoTracksHighPtTripletStepHp ,1.68,51.22
43,cutsRecoTracksHp ,4.94,73.23
44,cutsRecoTracksInitialStep ,3.87,66.75
45,cutsRecoTracksInitialStepByAlgoMask ,4.01,58.6
46,cutsRecoTracksInitialStepByAlgoMaskHp ,3.93,65.04
47,cutsRecoTracksInitialStepByOriginalAlgo ,3.88,65.73
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,3.88,63.4
49,cutsRecoTracksInitialStepHp ,3.85,68.67
50,cutsRecoTracksPt09HighPtTripletStep ,1.03,25.62
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.84,18.5
52,cutsRecoTracksPt09Hp ,2.15,43.95
53,cutsRecoTracksPt09InitialStep ,1.8,56.74
54,cutsRecoTracksPt09InitialStepHp ,1.77,55.94
55,dqmInfoTracking ,0.25,0.0
56,ecalDetIdToBeRecovered ,0.26,11.5
57,ecalDigis ,5.05,35.09
58,ecalMultiFitUncalibRecHit ,238.72,204.44
59,ecalRecHit ,268.0,8722.73
60,firstStepPrimaryVertices ,81.25,76.97
61,firstStepPrimaryVerticesUnsorted ,1503.16,419.47
62,generalTracks ,534.76,177.49
63,generalTracksFromPV ,3.61,65.56
64,generalTracksFromPVPt09 ,0.25,0.0
65,generalTracksPt09 ,4.03,58.85
66,hbhereco ,173.26,569.42
67,hcalDigis ,3.4,94.49
68,hfprereco ,2.3,90.22
69,hfreco ,1.71,70.07
70,highPtTripletStepClusters ,1.88,50.61
71,highPtTripletStepHitDoublets ,127.71,96.33
72,highPtTripletStepHitTriplets ,839.44,209.81
73,highPtTripletStepSeedClusterMask ,0.25,0.0
74,highPtTripletStepSeedLayers ,5.61,65.69
75,highPtTripletStepSeeds ,76.74,75.03
76,highPtTripletStepSelector ,6.1,47.77
77,highPtTripletStepTrackCandidates ,1549.38,437.35
78,highPtTripletStepTrackingRegions ,0.25,0.0
79,highPtTripletStepTracks ,443.17,185.12
80,highPurityPV0p1 ,2.07,55.91
81,highPurityPt1 ,1.36,28.0
82,highPurityPtRange0to1 ,2.81,39.82
83,horeco ,0.33,8.48
84,inclusiveSecondaryVertices ,0.25,0.0
85,inclusiveVertexFinder ,0.25,0.0
86,initialStepHitDoublets ,127.22,81.06
87,initialStepHitQuadruplets ,787.09,224.83
88,initialStepSeedClusterMask ,0.25,0.0
89,initialStepSeedLayers ,24.72,836.62
90,initialStepSeeds ,326.79,153.15
91,initialStepSelector ,11.59,81.46
92,initialStepTrackCandidates ,3225.43,698.29
93,initialStepTrackRefsForJets ,2.35,67.47
94,initialStepTrackingRegions ,0.28,10.61
95,initialStepTracks ,891.58,2520.59
96,muonCSCDigis ,0.25,0.0
97,muonDTDigis ,0.25,0.0
98,muonGEMDigis ,0.25,0.0
99,muonRPCDigis ,0.25,0.0
100,muonRPCNewDigis ,0.25,0.0
101,offlineBeamSpot ,213.22,5008.43
102,offlinePrimaryVertices ,128.63,75.84
103,offlinePrimaryVerticesWithBS ,127.04,70.68
104,primaryVertexResolution ,202.16,129.19
105,pvMonitor ,1.22,47.26
106,quickTrackAssociatorByHits ,0.26,12.0
107,quickTrackAssociatorByHitsPreSplitting ,0.25,0.0
108,raw2digi_step ,0.25,0.0
109,scalersRawToDigi ,0.25,0.0
110,seedTrackshighPtTripletStepSeeds ,42.81,47.79
111,seedTracksinitialStepSeeds ,185.87,135.65
112,selectedOfflinePrimaryVertices ,1.0,18.32
113,selectedOfflinePrimaryVerticesWithBS ,0.74,31.35
114,siPhase2Clusters ,8.62,106.38
115,siPixelClusterShapeCache ,36.67,97.4
116,siPixelClusters ,139.84,183.57
117,siPixelClustersPreSplitting ,152.53,317.06
118,siPixelRecHits ,105.62,235.75
119,siPixelRecHitsPreSplitting ,0.25,0.0
120,simHitTPAssocProducer ,190.26,133.37
121,tpClusterProducer ,1275.42,301.76
122,tpClusterProducerPreSplitting ,0.25,0.0
