,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
114,siPhase2Clusters ,6.78,85.06
115,siPixelClusterShapeCache ,25.71,68.03
116,siPixelClusters ,96.7,129.89
117,siPixelClustersPreSplitting ,97.04,127.52
118,siPixelRecHits ,67.44,77.38
119,siPixelRecHitsPreSplitting ,0.25,0.0
120,simHitTPAssocProducer ,116.53,118.74
121,tpClusterProducer ,744.87,264.28
122,tpClusterProducerPreSplitting ,0.25,0.0
123,trackRefsForJetsBeforeSorting ,2.37,63.59
124,trackValidatorAllTPEfficStandalone ,742.82,267.41
125,trackValidatorBHadronTrackingOnly ,47.37,111.68
126,trackValidatorBuilding ,268.41,126.23
127,trackValidatorBuildingPreSplitting ,0.25,0.0
128,trackValidatorFromPVAllTPStandalone ,120.97,91.43
129,trackValidatorFromPVStandalone ,34.65,41.61
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25,0.0
131,trackValidatorSeedingTrackingOnly ,899.77,3060.87
132,trackValidatorTPPtLess09Standalone ,184.62,147.03
133,trackValidatorTrackingOnly ,994.99,25600.16
134,trackVertexArbitrator ,0.25,0.0
135,trackWithVertexRefSelectorBeforeSorting ,2.71,55.05
136,trackerClusterCheck ,0.26,12.0
137,trackingDQMgoodOfflinePrimaryVertices ,3.75,9.12
138,trackingParticleNumberOfLayersProducer ,94.34,272.48
139,trackingParticleRecoTrackAsssociation ,95.97,383.31
140,trackingParticlesBHadron ,477.18,2081.54
141,trackingParticlesConversion ,0.25,0.0
142,trackingParticlesElectron ,0.25,0.0
143,trackingParticlesSignal ,227.31,3091.75
144,unsortedOfflinePrimaryVertices ,998.45,41591.63
145,v0Validator ,0.25,0.0
146,vertexAnalysisTrackingOnly ,80.11,90.79
147,vertexMerger ,0.25,0.0
