,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
0,event ,18722.22,10318.28
1,explicit ,20480.79,9950.13
2,overhead ,3554.03,5268.88
3,process RECO ,18722.22,10318.28
4,source ,20.25,987.75
5,DQMoutput ,0.25,0.0
6,DQMoutput_step ,0.25,0.0
7,MC_Dqmoffline_v2 ,0.32,9.0
8,MC_Tracking_v2 ,0.25,0.0
9,MC_prevalidation_v2 ,0.25,0.0
10,MC_validation_v2 ,0.25,0.0
11,MeasurementTrackerEvent ,10.25,465.55
12,PV0p1 ,1.21,49.29
13,TrackMon_ckf ,0.26,11.75
14,TrackSeedMonhighPtTripletStep ,23.79,53.95
15,TrackSeedMoninitialStep ,69.22,99.77
16,TrackSplitMonitor ,10.25,487.63
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,982.38,12392.02
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,49.67,43.41
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,334.4,155.85
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,673.71,241.46
21,TriggerResults ,0.25,0.0
22,VertexAssociatorByPositionAndTracks ,0.26,12.0
23,ak4CaloJetsForTrk ,8.84,136.99
24,bunchSpacingProducer ,0.25,0.0
25,caloTowerForTrk ,10.28,71.85
26,cutsRecoTracksBtvLike ,2.8,52.01
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25,0.0
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25,0.0
29,cutsRecoTracksFromPVHp ,0.25,0.0
30,cutsRecoTracksFromPVInitialStep ,0.25,0.0
31,cutsRecoTracksFromPVInitialStepHp ,0.25,0.0
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25,0.0
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25,0.0
34,cutsRecoTracksFromPVPt09Hp ,0.25,0.0
35,cutsRecoTracksFromPVPt09InitialStep ,0.25,0.0
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25,0.0
37,cutsRecoTracksHighPtTripletStep ,1.4,37.77
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,1.27,48.85
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,1.19,43.75
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,1.33,42.97
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,1.31,32.4
42,cutsRecoTracksHighPtTripletStepHp ,1.18,42.24
43,cutsRecoTracksHp ,3.57,54.06
44,cutsRecoTracksInitialStep ,2.83,49.95
45,cutsRecoTracksInitialStepByAlgoMask ,2.81,46.99
46,cutsRecoTracksInitialStepByAlgoMaskHp ,2.65,56.16
47,cutsRecoTracksInitialStepByOriginalAlgo ,2.76,52.42
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,2.87,44.57
49,cutsRecoTracksInitialStepHp ,2.79,52.33
50,cutsRecoTracksPt09HighPtTripletStep ,0.75,34.3
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.72,34.5
52,cutsRecoTracksPt09Hp ,1.51,33.5
53,cutsRecoTracksPt09InitialStep ,1.27,46.34
54,cutsRecoTracksPt09InitialStepHp ,1.25,48.38
55,dqmInfoTracking ,0.25,0.0
56,ecalDetIdToBeRecovered ,0.26,12.0
57,ecalDigis ,4.34,34.13
58,ecalMultiFitUncalibRecHit ,164.99,157.86
59,ecalRecHit ,22.7,650.2
60,firstStepPrimaryVertices ,43.16,42.64
61,firstStepPrimaryVerticesUnsorted ,769.48,591.83
62,generalTracks ,228.38,75.69
63,generalTracksFromPV ,2.4,55.69
64,generalTracksFromPVPt09 ,0.26,12.0
65,generalTracksPt09 ,2.79,44.41
66,hbhereco ,180.44,558.89
67,hcalDigis ,3.36,116.83
68,hfprereco ,2.27,94.53
69,hfreco ,1.26,59.5
70,highPtTripletStepClusters ,1.26,48.21
71,highPtTripletStepHitDoublets ,70.72,71.4
72,highPtTripletStepHitTriplets ,344.45,115.11
73,highPtTripletStepSeedClusterMask ,0.25,0.0
74,highPtTripletStepSeedLayers ,3.87,53.53
75,highPtTripletStepSeeds ,45.84,50.02
76,highPtTripletStepSelector ,3.43,45.44
77,highPtTripletStepTrackCandidates ,788.64,795.65
78,highPtTripletStepTrackingRegions ,0.25,0.0
79,highPtTripletStepTracks ,226.81,105.36
80,highPurityPV0p1 ,1.45,4.0
81,highPurityPt1 ,0.86,23.24
82,highPurityPtRange0to1 ,1.83,24.55
83,horeco ,0.28,10.37
84,inclusiveSecondaryVertices ,0.25,0.0
85,inclusiveVertexFinder ,0.25,0.0
86,initialStepHitDoublets ,74.17,87.62
87,initialStepHitQuadruplets ,354.99,160.88
88,initialStepSeedClusterMask ,0.25,0.0
89,initialStepSeedLayers ,1.4,40.01
90,initialStepSeeds ,262.0,207.04
91,initialStepSelector ,7.91,61.89
92,initialStepTrackCandidates ,1000.0,0.0
93,initialStepTrackRefsForJets ,1.7,57.6
94,initialStepTrackingRegions ,0.29,10.35
95,initialStepTracks ,478.32,290.5
96,muonCSCDigis ,0.25,0.0
97,muonDTDigis ,0.25,0.0
98,muonGEMDigis ,0.25,0.0
99,muonRPCDigis ,0.25,0.0
100,muonRPCNewDigis ,0.25,0.0
101,offlineBeamSpot ,30.24,1487.88
102,offlinePrimaryVertices ,68.14,52.6
103,offlinePrimaryVerticesWithBS ,67.18,45.47
104,primaryVertexResolution ,149.04,101.83
105,pvMonitor ,0.89,10.5
106,quickTrackAssociatorByHits ,0.26,12.0
107,quickTrackAssociatorByHitsPreSplitting ,0.25,0.0
108,raw2digi_step ,0.25,0.0
109,scalersRawToDigi ,0.25,0.0
110,seedTrackshighPtTripletStepSeeds ,21.37,51.13
111,seedTracksinitialStepSeeds ,127.55,137.8
112,selectedOfflinePrimaryVertices ,0.89,20.97
113,selectedOfflinePrimaryVerticesWithBS ,0.47,9.5
