,Module,Average time/event (ms) at 100 events,Std (ms) at 100 events
124,trackValidatorAllTPEfficStandalone ,28.5,40.4
125,trackValidatorBHadronTrackingOnly ,2.42,1.28
126,trackValidatorBuilding ,8.49,5.22
127,trackValidatorBuildingPreSplitting ,0.0,0.03
128,trackValidatorFromPVAllTPStandalone ,19.84,15.58
129,trackValidatorFromPVStandalone ,34.06,15.98
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.06,0.64
131,trackValidatorSeedingTrackingOnly ,22.16,10.94
132,trackValidatorTPPtLess09Standalone ,13.06,5.6
133,trackValidatorTrackingOnly ,54.04,30.42
134,trackVertexArbitrator ,0.0,0.0
135,trackWithVertexRefSelectorBeforeSorting ,1.5,11.21
136,trackerClusterCheck ,3.42,48.57
137,trackingDQMgoodOfflinePrimaryVertices ,1.38,15.91
138,trackingParticleNumberOfLayersProducer ,12.46,13.43
139,trackingParticleRecoTrackAsssociation ,6.83,40.73
140,trackingParticlesBHadron ,94.12,2130.87
141,trackingParticlesConversion ,0.0,0.0
142,trackingParticlesElectron ,0.0,0.0
143,trackingParticlesSignal ,0.76,1.87
144,unsortedOfflinePrimaryVertices ,22.82,50.22
145,v0Validator ,0.51,5.54
146,vertexAnalysisTrackingOnly ,5.74,19.7
147,vertexMerger ,0.0,0.0
