,Module,Average time/event (ms) at 1000 events
0,event ,8864.82
1,explicit ,9367.54
2,overhead ,797.55
3,process RECO ,8864.82
4,source ,0.25
5,DQMoutput ,0.25
6,DQMoutput_step ,0.25
7,MC_Dqmoffline_v2 ,0.25
8,MC_Tracking_v2 ,0.25
9,MC_prevalidation_v2 ,0.25
10,MC_validation_v2 ,0.25
11,MeasurementTrackerEvent ,1.74
12,PV0p1 ,0.75
13,TrackMon_ckf ,0.25
14,TrackSeedMonhighPtTripletStep ,14.36
15,TrackSeedMoninitialStep ,43.01
16,TrackSplitMonitor ,8.68
17,TrackerCollisionSelectedTrackMonCommongeneralTracks ,671.4
18,TrackerCollisionSelectedTrackMonCommonhighPurityPV0p1 ,29.53
19,TrackerCollisionSelectedTrackMonCommonhighPurityPt1 ,203.73
20,TrackerCollisionSelectedTrackMonCommonhighPurityPtRange0to1 ,434.57
21,TriggerResults ,0.25
22,VertexAssociatorByPositionAndTracks ,0.25
23,ak4CaloJetsForTrk ,4.93
24,bunchSpacingProducer ,0.25
25,caloTowerForTrk ,4.52
26,cutsRecoTracksBtvLike ,1.61
27,cutsRecoTracksFromPVHighPtTripletStep ,0.25
28,cutsRecoTracksFromPVHighPtTripletStepHp ,0.25
29,cutsRecoTracksFromPVHp ,0.25
30,cutsRecoTracksFromPVInitialStep ,0.25
31,cutsRecoTracksFromPVInitialStepHp ,0.25
32,cutsRecoTracksFromPVPt09HighPtTripletStep ,0.25
33,cutsRecoTracksFromPVPt09HighPtTripletStepHp ,0.25
34,cutsRecoTracksFromPVPt09Hp ,0.25
35,cutsRecoTracksFromPVPt09InitialStep ,0.25
36,cutsRecoTracksFromPVPt09InitialStepHp ,0.25
37,cutsRecoTracksHighPtTripletStep ,0.76
38,cutsRecoTracksHighPtTripletStepByAlgoMask ,0.76
39,cutsRecoTracksHighPtTripletStepByAlgoMaskHp ,0.75
40,cutsRecoTracksHighPtTripletStepByOriginalAlgo ,0.75
41,cutsRecoTracksHighPtTripletStepByOriginalAlgoHp ,0.75
42,cutsRecoTracksHighPtTripletStepHp ,0.75
43,cutsRecoTracksHp ,1.98
44,cutsRecoTracksInitialStep ,1.59
45,cutsRecoTracksInitialStepByAlgoMask ,1.6
46,cutsRecoTracksInitialStepByAlgoMaskHp ,1.6
47,cutsRecoTracksInitialStepByOriginalAlgo ,1.6
48,cutsRecoTracksInitialStepByOriginalAlgoHp ,1.6
49,cutsRecoTracksInitialStepHp ,1.59
50,cutsRecoTracksPt09HighPtTripletStep ,0.28
51,cutsRecoTracksPt09HighPtTripletStepHp ,0.26
52,cutsRecoTracksPt09Hp ,0.81
53,cutsRecoTracksPt09InitialStep ,0.75
54,cutsRecoTracksPt09InitialStepHp ,0.75
55,dqmInfoTracking ,0.25
56,ecalDetIdToBeRecovered ,0.25
57,ecalDigis ,1.37
58,ecalMultiFitUncalibRecHit ,99.8
59,ecalRecHit ,6.61
60,firstStepPrimaryVertices ,25.07
61,firstStepPrimaryVerticesUnsorted ,511.26
62,generalTracks ,138.97
63,generalTracksFromPV ,1.39
64,generalTracksFromPVPt09 ,0.25
65,generalTracksPt09 ,1.62
66,hbhereco ,99.9
67,hcalDigis ,1.79
68,hfprereco ,1.25
69,hfreco ,0.75
70,highPtTripletStepClusters ,0.75
71,highPtTripletStepHitDoublets ,42.82
72,highPtTripletStepHitTriplets ,170.37
73,highPtTripletStepSeedClusterMask ,0.25
74,highPtTripletStepSeedLayers ,1.86
75,highPtTripletStepSeeds ,23.4
76,highPtTripletStepSelector ,2.06
77,highPtTripletStepTrackCandidates ,437.88
78,highPtTripletStepTrackingRegions ,0.25
79,highPtTripletStepTracks ,132.33
80,highPurityPV0p1 ,0.81
81,highPurityPt1 ,0.37
82,highPurityPtRange0to1 ,0.82
83,horeco ,0.25
84,inclusiveSecondaryVertices ,0.25
85,inclusiveVertexFinder ,0.25
86,initialStepHitDoublets ,46.83
87,initialStepHitQuadruplets ,179.53
88,initialStepSeedClusterMask ,0.25
89,initialStepSeedLayers ,0.72
90,initialStepSeeds ,132.74
91,initialStepSelector ,4.68
92,initialStepTrackCandidates ,1151.26
93,initialStepTrackRefsForJets ,0.81
94,initialStepTrackingRegions ,0.25
95,initialStepTracks ,275.66
96,muonCSCDigis ,0.25
97,muonDTDigis ,0.25
98,muonGEMDigis ,0.25
99,muonRPCDigis ,0.25
100,muonRPCNewDigis ,0.25
101,offlineBeamSpot ,0.33
102,offlinePrimaryVertices ,39.56
103,offlinePrimaryVerticesWithBS ,39.6
104,primaryVertexResolution ,91.02
105,pvMonitor ,0.64
106,quickTrackAssociatorByHits ,0.25
107,quickTrackAssociatorByHitsPreSplitting ,0.25
108,raw2digi_step ,0.25
109,scalersRawToDigi ,0.25
110,seedTrackshighPtTripletStepSeeds ,10.56
111,seedTracksinitialStepSeeds ,57.78
112,selectedOfflinePrimaryVertices ,0.27
113,selectedOfflinePrimaryVerticesWithBS ,0.25
114,siPhase2Clusters ,3.96
115,siPixelClusterShapeCache ,14.96
116,siPixelClusters ,39.38
117,siPixelClustersPreSplitting ,39.43
118,siPixelRecHits ,27.82
119,siPixelRecHitsPreSplitting ,0.25
120,simHitTPAssocProducer ,62.67
121,tpClusterProducer ,434.2
122,tpClusterProducerPreSplitting ,0.25
123,trackRefsForJetsBeforeSorting ,1.31
124,trackValidatorAllTPEfficStandalone ,445.69
125,trackValidatorBHadronTrackingOnly ,26.82
126,trackValidatorBuilding ,157.8
127,trackValidatorBuildingPreSplitting ,0.25
128,trackValidatorFromPVAllTPStandalone ,77.12
129,trackValidatorFromPVStandalone ,18.87
130,trackValidatorSeedingPreSplittingTrackingOnly ,0.25
131,trackValidatorSeedingTrackingOnly ,526.42
132,trackValidatorTPPtLess09Standalone ,112.77
133,trackValidatorTrackingOnly ,679.45
134,trackVertexArbitrator ,0.25
135,trackWithVertexRefSelectorBeforeSorting ,1.57
136,trackerClusterCheck ,0.25
137,trackingDQMgoodOfflinePrimaryVertices ,0.25
138,trackingParticleNumberOfLayersProducer ,37.57
139,trackingParticleRecoTrackAsssociation ,33.4
140,trackingParticlesBHadron ,200.96
141,trackingParticlesConversion ,0.25
142,trackingParticlesElectron ,0.25
143,trackingParticlesSignal ,4.78
144,unsortedOfflinePrimaryVertices ,913.96
145,v0Validator ,0.25
146,vertexAnalysisTrackingOnly ,44.64
147,vertexMerger ,0.25
